"","migration_per_gen","fitnessAa","number_of_generations","min_size","min_gen","final_pop_size","p_final","success"
"5963",5,0.9,1797,6,1797,6,0.916666666666667,"extinction"
"5964",5,0.9,3445,10,3445,10,1,"extinction"
"5965",5,0.9,8987,10,8987,10,1,"extinction"
"5966",5,0.9,10001,11,7776,34,1,"medium"
"5967",5,0.9,2340,8,2340,8,1,"extinction"
"5968",5,0.9,10001,11,6520,49,1,"medium"
"5969",5,0.9,7162,9,7162,9,1,"extinction"
"5970",5,0.9,7519,10,7519,10,1,"extinction"
"5971",5,0.9,10001,11,4396,60,1,"medium"
"5972",5,0.9,10001,13,1728,40,0.975,"medium"
"5973",5,0.9,5429,9,5429,9,1,"extinction"
"5974",5,0.9,10001,12,1191,50,1,"medium"
"5975",5,0.9,1673,9,1673,9,1,"extinction"
"5976",5,0.9,2988,10,2988,10,1,"extinction"
"5977",5,0.9,3146,10,3146,10,1,"extinction"
"5978",5,0.9,10001,11,2767,34,1,"medium"
"5979",5,0.9,6137,7,6137,7,1,"extinction"
"5980",5,0.9,778,10,778,10,1,"extinction"
"5981",5,0.9,10001,13,1594,54,1,"medium"
"5982",5,0.9,804,10,804,10,1,"extinction"
"5983",5,0.9,8775,10,8775,10,1,"extinction"
"5984",5,0.9,5965,9,5965,9,1,"extinction"
"5985",5,0.9,4438,10,4438,10,1,"extinction"
"5986",5,0.9,82,10,82,10,1,"extinction"
"5987",5,0.9,1311,10,1311,10,1,"extinction"
"5988",5,0.9,5490,10,5490,10,1,"extinction"
"5989",5,0.9,9141,8,9141,8,1,"extinction"
"5990",5,0.9,10001,12,5230,60,1,"medium"
"5991",5,0.9,10001,12,4844,52,1,"medium"
"5992",5,0.9,10001,11,6277,49,1,"medium"
"5993",5,0.9,7622,10,7622,10,1,"extinction"
"5994",5,0.9,4572,7,4572,7,1,"extinction"
"5995",5,0.9,729,10,729,10,1,"extinction"
"5996",5,0.9,10001,12,6237,69,1,"medium"
"5997",5,0.9,5012,9,5012,9,1,"extinction"
"5998",5,0.9,4440,10,4440,10,1,"extinction"
"5999",5,0.9,2528,7,2528,7,1,"extinction"
"6000",5,0.9,2037,10,2037,10,1,"extinction"
"6001",6,0.9,10001,14,7277,56,1,"medium"
"6002",6,0.9,2057,9,2057,9,1,"extinction"
"6003",6,0.9,10001,14,6889,56,1,"medium"
"6004",6,0.9,10001,16,1143,66,1,"medium"
"6005",6,0.9,10001,15,1432,67,1,"medium"
"6006",6,0.9,2973,12,2973,12,1,"extinction"
"6007",6,0.9,2986,11,2986,11,1,"extinction"
"6008",6,0.9,10001,16,8754,105,0.985714285714286,"medium"
"6009",6,0.9,2161,12,2161,12,1,"extinction"
"6010",6,0.9,10001,14,4678,63,1,"medium"
"6011",6,0.9,1996,11,1996,11,1,"extinction"
"6012",6,0.9,4232,12,4232,12,1,"extinction"
"6013",6,0.9,10001,13,3015,57,1,"medium"
"6014",6,0.9,10001,16,2538,66,0.954545454545455,"medium"
"6015",6,0.9,10001,15,5367,76,1,"medium"
"6016",6,0.9,569,12,569,12,1,"extinction"
"6017",6,0.9,10001,16,6890,35,1,"medium"
"6018",6,0.9,10001,17,3108,90,0.977777777777778,"medium"
"6019",6,0.9,10001,14,8458,99,1,"medium"
"6020",6,0.9,10001,15,3861,28,1,"medium"
"6021",6,0.9,2446,12,2446,12,1,"extinction"
"6022",6,0.9,10001,14,2920,77,1,"medium"
"6023",6,0.9,1773,12,1773,12,1,"extinction"
"6024",6,0.9,2523,11,2523,11,1,"extinction"
