"","migration","generation_with_min_pop_size","min_pop_size","simulated_gen","maximal_pop_size","success"
"5630",5,255,9,255,5078,"reached_max"
"5631",5,1002,6,1002,1000,"medium"
"5632",5,326,3,326,1000,"extinction"
"5633",5,685,9,685,5350,"reached_max"
"5634",5,253,9,253,5220,"reached_max"
"5635",5,1002,6,1002,1000,"medium"
"5636",5,1002,6,1002,1000,"medium"
"5637",5,426,3,426,1000,"extinction"
"5638",5,1002,6,1002,1000,"medium"
"5639",5,764,9,764,5400,"reached_max"
"5640",5,1002,6,1002,1000,"medium"
"5641",5,1002,6,1002,1000,"medium"
"5642",5,1002,6,1002,1000,"medium"
"5643",5,376,9,376,5214,"reached_max"
"5644",5,349,9,349,5068,"reached_max"
"5645",5,1002,6,1002,1000,"medium"
"5646",5,1002,6,1002,1000,"medium"
"5647",5,1002,6,1002,1000,"medium"
"5648",5,1002,6,1002,1000,"medium"
"5649",5,1002,6,1002,1000,"medium"
"5650",5,1002,6,1002,1000,"medium"
"5651",5,1002,6,1002,1000,"medium"
"5652",5,778,9,778,5269,"reached_max"
"5653",5,1002,6,1002,1000,"medium"
"5654",5,1002,6,1002,1000,"medium"
"5655",5,1002,6,1002,1000,"medium"
"5656",5,223,3,223,1000,"extinction"
"5657",5,1002,6,1002,1000,"medium"
"5658",5,162,9,162,5434,"reached_max"
"5659",5,1002,6,1002,1000,"medium"
"5660",5,242,3,242,1000,"extinction"
"5661",5,450,3,450,1000,"extinction"
"5662",5,1002,6,1002,1000,"medium"
"5663",5,1002,6,1002,1000,"medium"
"5664",5,1002,6,1002,1000,"medium"
"5665",5,1002,6,1002,1000,"medium"
"5666",5,152,9,152,5175,"reached_max"
"5667",5,1002,6,1002,1000,"medium"
"5668",5,879,9,879,5067,"reached_max"
"5669",5,1002,6,1002,1000,"medium"
"5670",5,1002,6,1002,1000,"medium"
"5671",5,633,3,633,1000,"extinction"
"5672",5,1002,6,1002,1000,"medium"
"5673",5,1002,6,1002,1000,"medium"
"5674",5,1002,6,1002,1000,"medium"
"5675",5,212,9,212,5259,"reached_max"
"5676",5,241,9,241,5003,"reached_max"
"5677",5,1002,6,1002,1000,"medium"
"5678",5,450,9,450,5187,"reached_max"
"5679",5,1002,6,1002,1000,"medium"
"5680",5,1002,6,1002,1000,"medium"
"5681",5,1002,6,1002,1000,"medium"
"5682",5,149,9,149,5513,"reached_max"
"5683",5,1002,6,1002,1000,"medium"
"5684",5,1002,6,1002,1000,"medium"
"5685",5,1002,6,1002,1000,"medium"
"5686",5,294,3,294,1000,"extinction"
"5687",5,1002,6,1002,1000,"medium"
"5688",5,1002,6,1002,1000,"medium"
"5689",5,120,9,120,5177,"reached_max"
"5690",5,157,9,157,5227,"reached_max"
"5691",5,123,9,123,5134,"reached_max"
"5692",5,1002,6,1002,1000,"medium"
"5693",5,240,9,240,5291,"reached_max"
"5694",5,603,9,603,5011,"reached_max"
"5695",5,234,9,234,5229,"reached_max"
"5696",5,1002,6,1002,1000,"medium"
"5697",5,567,9,567,5143,"reached_max"
"5698",5,351,9,351,5129,"reached_max"
"5699",5,264,3,264,1000,"extinction"
"5700",5,1002,6,1002,1000,"medium"
"5701",5,610,9,610,5242,"reached_max"
"5702",5,1002,6,1002,1000,"medium"
"5703",5,1002,6,1002,1000,"medium"
"5704",5,1002,6,1002,1000,"medium"
"5705",5,1002,6,1002,1000,"medium"
"5706",5,1002,6,1002,1000,"medium"
"5707",5,1002,6,1002,1000,"medium"
"5708",5,1002,6,1002,1000,"medium"
"5709",5,1002,6,1002,1000,"medium"
"5710",5,1002,6,1002,1000,"medium"
"5711",5,1002,6,1002,1000,"medium"
"5712",5,1002,6,1002,1000,"medium"
"5713",5,1002,6,1002,1000,"medium"
"5714",5,790,3,790,1000,"extinction"
"5715",5,1002,6,1002,1000,"medium"
"5716",5,1002,6,1002,2401,"medium"
"5717",5,1002,6,1002,1000,"medium"
"5718",5,183,9,183,5296,"reached_max"
"5719",5,1002,6,1002,1000,"medium"
"5720",5,1002,6,1002,1000,"medium"
"5721",5,155,9,155,5021,"reached_max"
"5722",5,1002,6,1002,1000,"medium"
"5723",5,1002,6,1002,1000,"medium"
"5724",5,1002,6,1002,1000,"medium"
"5725",5,172,9,172,5096,"reached_max"
"5726",5,1002,6,1002,1000,"medium"
"5727",5,1002,6,1002,1000,"medium"
"5728",5,124,9,124,5002,"reached_max"
"5729",5,1002,6,1002,1000,"medium"
"5730",5,1002,6,1002,1000,"medium"
"5731",5,1002,6,1002,1000,"medium"
"5732",5,1002,6,1002,1000,"medium"
"5733",5,565,3,565,1000,"extinction"
"5734",5,1002,6,1002,1000,"medium"
"5735",5,1002,6,1002,1000,"medium"
