"","migration","generation_with_min_pop_size","min_pop_size","simulated_gen","maximal_pop_size","success"
"3578",3,34,81,102,5374,"reached_max"
"3579",3,507,4,507,1000,"extinction"
"3580",3,207,10,449,5444,"reached_max"
"3581",3,1381,7,2076,5251,"reached_max"
"3582",3,117,6,117,1000,"extinction"
"3583",3,98,7,729,5099,"reached_max"
"3584",3,138,6,138,1000,"extinction"
"3585",3,237,6,237,1000,"extinction"
"3586",3,46,31,206,5209,"reached_max"
"3587",3,294,6,294,1000,"extinction"
"3588",3,59,43,166,5012,"reached_max"
"3589",3,245,6,245,1000,"extinction"
"3590",3,375,6,375,1000,"extinction"
"3591",3,116,6,116,1000,"extinction"
"3592",3,37,36,132,5303,"reached_max"
"3593",3,210,5,210,1000,"extinction"
"3594",3,187,6,187,1000,"extinction"
"3595",3,1031,6,1031,1000,"extinction"
"3596",3,216,6,216,1000,"extinction"
"3597",3,1152,3,1152,1000,"extinction"
"3598",3,180,8,445,5080,"reached_max"
"3599",3,226,6,226,1000,"extinction"
"3600",3,500,6,500,1000,"extinction"
"3601",3,388,3,388,1000,"extinction"
"3602",3,57,69,121,5158,"reached_max"
"3603",3,1957,6,1957,1000,"extinction"
"3604",3,149,6,149,1000,"extinction"
"3605",3,130,5,130,1000,"extinction"
"3606",3,169,7,1227,5404,"reached_max"
"3607",3,612,4,612,1000,"extinction"
"3608",3,590,6,590,1000,"extinction"
"3609",3,74,50,155,5001,"reached_max"
"3610",3,98,3,98,1000,"extinction"
"3611",3,378,6,378,1000,"extinction"
"3612",3,91,11,255,5045,"reached_max"
"3613",3,87,5,87,1000,"extinction"
"3614",3,383,6,383,1000,"extinction"
"3615",3,486,6,486,1028,"extinction"
"3616",3,146,11,313,5116,"reached_max"
"3617",3,55,6,55,1000,"extinction"
"3618",3,751,5,751,1000,"extinction"
"3619",3,71,20,189,5192,"reached_max"
"3620",3,294,4,294,1000,"extinction"
"3621",3,59,52,135,5142,"reached_max"
"3622",3,612,5,612,1000,"extinction"
"3623",3,1552,6,1552,1000,"extinction"
"3624",3,38,69,111,5287,"reached_max"
"3625",3,491,6,491,1000,"extinction"
"3626",3,172,5,172,1000,"extinction"
"3627",3,213,5,213,1000,"extinction"
"3628",3,79,8,214,5076,"reached_max"
"3629",3,126,6,126,1000,"extinction"
"3630",3,627,5,627,1000,"extinction"
"3631",3,1919,5,1919,1000,"extinction"
"3632",3,88,6,88,1000,"extinction"
"3633",3,73,6,73,1000,"extinction"
"3634",3,94,28,248,5160,"reached_max"
"3635",3,147,6,147,1000,"extinction"
"3636",3,34,58,109,5157,"reached_max"
"3637",3,249,11,447,5156,"reached_max"
"3638",3,1282,5,1282,1000,"extinction"
"3639",3,454,6,454,1000,"extinction"
"3640",3,79,30,174,5223,"reached_max"
"3641",3,793,5,793,1000,"extinction"
