"migration_per_gen","fitnessAa","number_of_generations","min_size","min_gen","final_pop_size","p_final","success"
3,0.9,1674,5,1674,5,1,1
3,0.9,678,6,678,6,1,1
3,0.9,283,4,283,4,0.75,1
3,0.9,79,6,79,6,1,1
3,0.9,503,6,503,6,1,1
3,0.9,107,5,107,5,1,1
3,0.9,681,4,681,4,1,1
3,0.9,413,5,413,5,1,1
3,0.9,413,6,413,6,1,1
3,0.9,425,6,425,6,1,1
3,0.9,67,3,67,3,1,1
3,0.9,1488,6,1488,6,1,1
3,0.9,688,4,688,4,1,1
3,0.9,116,6,116,6,1,1
3,0.9,276,6,276,6,1,1
3,0.9,136,6,136,6,1,1
3,0.9,1129,4,1129,4,1,1
3,0.9,253,6,253,6,1,1
3,0.9,289,5,289,5,1,1
3,0.9,218,6,218,6,1,1
3,0.9,671,4,671,4,1,1
3,0.9,90,5,90,5,1,1
3,0.9,1623,6,1623,6,1,1
3,0.9,177,5,177,5,1,1
3,0.9,892,4,892,4,1,1
3,0.9,176,5,176,5,1,1
3,0.9,526,6,526,6,1,1
3,0.9,885,6,885,6,1,1
3,0.9,639,6,639,6,1,1
3,0.9,214,6,214,6,1,1
3,0.9,59,6,59,6,1,1
3,0.9,218,6,218,6,1,1
3,0.9,79,4,79,4,1,1
3,0.9,141,6,141,6,1,1
3,0.9,339,6,339,6,1,1
3,0.9,1004,6,1004,6,1,1
3,0.9,320,4,320,4,1,1
3,0.9,139,6,139,6,1,1
3,0.9,1693,5,1693,5,1,1
3,0.9,72,6,72,6,1,1
3,0.9,654,5,654,5,1,1
3,0.9,2346,6,2346,6,1,1
3,0.9,706,3,706,3,1,1
3,0.9,200,3,200,3,1,1
3,0.9,840,5,840,5,1,1
3,0.9,81,4,81,4,1,1
3,0.9,315,3,315,3,1,1
3,0.9,507,6,507,6,1,1
3,0.9,141,5,141,5,1,1
3,0.9,67,6,67,6,1,1
3,0.9,409,6,409,6,1,1
3,0.9,1146,6,1146,6,1,1
3,0.9,275,5,275,5,1,1
3,0.9,302,4,302,4,1,1
3,0.9,249,6,249,6,1,1
3,0.9,905,6,905,6,1,1
3,0.9,677,2,677,2,1,1
3,0.9,568,5,568,5,1,1
3,0.9,247,3,247,3,1,1
3,0.9,344,4,344,4,1,1
3,0.9,751,4,751,4,1,1
3,0.9,214,5,214,5,1,1
3,0.9,273,6,273,6,1,1
3,0.9,386,3,386,3,1,1
3,0.9,1085,6,1085,6,1,1
3,0.9,316,4,316,4,1,1
3,0.9,194,6,194,6,1,1
3,0.9,109,6,109,6,1,1
